Actor,Claim,ProAnti,BestGuess,DateTime,Day,City/Town,StateTerritory
general protesters,"support for an undocumented immigrant, Romulo Avelica-Gonzalez, 48, who was detained by ICE agents",1,75.0,2017-03-06,33,Los Angeles,CA
Black Lives Matter,Anti-police brutality,1,200.0,2017-03-07,34,Chicago,IL
general protesters,to protest a plan to deputize local law enforcement officers as federal immigration agents (ICE); program 287(g),1,112.0,2017-03-18,45,Reading,PA
Trump supporters,"support Trump, veterans, police",2,250.0,2017-03-25,52,Phoenix,AZ
MAGA March,"support Trump, veterans, police",2,100.0,2017-03-25,52,Hollywood,CA
MAGA March,"support Trump, veterans, police",2,1850.0,2017-03-25,52,Huntington Beach,CA
MAGA March,"support Trump, veterans, police",2,150.0,2017-03-25,52,Omaha,NE
MAGA March,"support Trump, veterans, police",2,2000.0,2017-03-25,52,Seaside Heights,NJ
MAGA,"support Trump, veterans, police",2,200.0,2017-03-25,52,Poughkeepsie,NY
MAGA March,"support Trump, veterans, police",2,200.0,2017-03-25,52,Columbus,OH
Northwest Trump Alliance for Change,"support Trump, veterans, police",2,300.0,2017-03-25,52,Salem,OR
MAGA March,"support Trump, veterans, police",2,231.0,2017-03-25,52,Philadelphia,PA
Black Lives Matter,police shooting of Quanice Hayes,0,55.0,2017-03-29,56,Portland,OR
War Affected Minds ,Back The Blue march to honor SAPD Officers,0.0,200.0,2017-07-05,154,San Antonio,TX
Don't Sleep; Indy Pride; IndyCAN; Indy10 Black Lives Matter Indianapolis,We Demand Justice! rally for police shooting of Aaron Bailey,0.0,150.0,2017-07-15,164,Indianapolis,IN
Twin Cities Coalition for Justice for Jamar,Resist Police Terror,0.0,100.0,2017-07-16,165,St. Paul,MN
Women’s March Minnesota,March for Healing and Justice for Justine + ALL Killed by Police,0.0,200.0,2017-07-20,169,Minneapolis ,MN
general protestors,Demand resignation of police chief and mayor after fatal police shooting,0.0,200.0,2017-07-21,170,Minneapolis,MO
general protestors,Demand resignation of police chief and mayor after fatal police shooting,0.0,70.0,2017-07-21,170,Minneapolis,MO
general protestors,Oppose President Trump's polices,1.0,200.0,2017-07-25,174,Vista,CA
general protestors,Protesting police shooting of man,0.0,50.0,2017-07-28,177,Los Angeles,CA
BLM St. Paul; city council candidate Samantha Pree-Stinso; mayoral candidate Nekima Levy-Pounds,Solidarity March Against Police Violence and White Silence to protest Philando Castille verdict,0.0,175.0,2017-06-17,136,Minneapolis ,MN
BLM,Oppose inclusion of police in parade,0.0,200.0,2017-06-25,144,Minneapolis ,MN
Communities United Against Police Brutality; Twin Cities Coalition for Justice 4 Jamar,Oppose acquital of Officer Jeronimo Yanez,0.0,1500.0,2017-06-16,135,St. Paul,MN
general protesters,Oppose acquital of Officer Jeronimo Yanez,0.0,850.0,2017-06-17,136,St. Paul,MN
general protesters,protesting officer acquittal in Philando Castile case,1.0,200.0,2017-06-17,136,New York,NY
Mothers Against Police Brutality; Faith Forward Dallas,March to End Police Brutality,1.0,300.0,2017-06-17,136,Dallas,TX
Spokane Community Against Racism and Spokane NAACP,against police brutality,1.0,124.0,2017-06-17,136,Spokane,WA
White People 4 Black Lives,Protesting police brutality,0.0,123.0,2017-12-01,303,Los Angeles,CA
Rise and Resist,Protesting police brutality,0.0,437.0,2017-12-02,304,New York ,NY 
general protestors,Protesting police brutality,0.0,50.0,2017-12-03,305,St. Louis,MO
Delivery workers,Calling on de Blasio to veto increased police surveilance on bikers,0.0,200.0,2017-12-18,320,New York ,NY 
general protestors,Rallying for stricter liability for police officers who use force,0.0,100.0,2017-12-28,330,Olympia,WA
Black Lives Matter  ,Protesting police brutality,0.0,200.0,2017-12-30,332,Troy,AL
students; others,drop police charges vs student protestors,0,80.0,2017-04-27,85,Berkeley,CA
general protestors,against pro-police speaker Heather Mac Donald,1,250.0,2017-04-06,64,Claremont,CA 
general protestors,demand release of men arrested and beaten by police,0,200.0,2017-04-08,66,Jacksonville,FL 
For Our Children's Undistracted Success,Mothers of children killed by police,0,55.0,2017-04-04,62,Zion ,IL  
For Our Children's Undistracted Success (FOCUS); general protest,"Protest police brutality, included mothers of children killed by police",0,50.0,2017-04-04,62,Chicago,IL  
students,protest in response to St. Louis County grand jury decision not to charge Ferguson police officer in connection with shooting,0,100.0,2017-04-24,82,Ypsilanti,MI
Black Lives Matter,Justice for victims of police brutality,0,60.0,2017-04-03,61,Syracuse,NY
Black Lives Matter,against police violence,0,2000.0,2017-04-16,74,Seattle,WA
general protestors,Protesting police officer who allegedly used excessive force,0,200.0,2017-10-04,245,Ann Arbor,MI
general protestors,Protesting acquittal of Jason Stockley; police brutality,0,50.0,2017-10-13,254,Ferguson,MO
Students,Protesting police after video of cops mishandling students surfaced,0,200.0,2017-10-13,254,Orange,NJ
general protestors,Remembering 3 year anniversary of police shooting of area man,0,600.0,2017-10-08,249,St. Louis ,MO
Aware Tulsa,protesting police brutality,0,50.0,2017-10-28,269,Tulsa,OK
The Resistance 5820,Protesting police brutality,0.0,109.0,2017-11-01,273,Denver,CO
general protestors,Demanding justice in death of area man by police,0.0,60.0,2017-11-02,274,Topeka,KS
National Society of Black Engineers,Protesting police brutality,0.0,100.0,2017-11-02,274,West Lafayette,IN
general protestors,Protesting police brutaliy,1.0,100.0,2017-11-24,296,Chicago,IL
Black Lives Matter,Protesting police brutality,1.0,200.0,2017-11-24,296,Seattle,WA
general protestors,police killing of Alton Sterling,0.0,60.0,2017-05-04,92,Baton Rouge,LA
area high school students,protest against city vote to disband police force,0.0,1300.0,2017-05-09,97,Forest Lake ,MN
general protestors,police shooting,0.0,300.0,2017-05-10,98,Bridgeport,CT
general protestors,want District Attorney to drop charges against student and charge police officer,0.0,50.0,2017-05-12,100,Pittsburgh,PA
general protestors,rally for fallen police officers,0.0,200.0,2017-05-15,103,Honolulu,HI
Fraternal Order of Police; President Donald Trump; supporters; active duty and retired police officers,rally and memorial for fallen police officers,2.0,11000.0,2017-05-15,103,Washington,DC
general protestors,protest against the acquittal of a white police officer in a police shooting,0.0,100.0,2017-05-17,105,Tulsa,OK
general protestors; Black Lives Matter,police shooting,0.0,100.0,2017-05-18,106,Bridgeport,CT
All Shades United; general protestors,"blocked traffic on the Las Vegas Strip to protest the death of Tashii Brown, who died after a police officer fired a stun gun seven times and put into an unauthorized choke hold",0.0,85.5,2017-05-28,116,Las Vegas,NV
general protestors,"protesting against Texas Senate BIll 4, which opponents describe as an anti-""sanctuary city"" law requiring Texas police chiefs and sheriffs to comply with all federal immigration enforcement requests; incident sparked near fistfight on Texas House floor after Republcian lawmaker reportedly contacted federal Immigration and Customs Enforcement (ICE) agents on the protesters and threatened to shoot a Democratic colleague who allegedly threatened him first.",1.0,200.0,2017-05-29,117,Austin,TX
White People 4 Black Lives,Protesting police brutality,0.0,69.0,2018-01-04,337,Los Angeles,CA
Black Lives Matter,Protesting police brutality,0.0,200.0,2018-01-08,341,New York,NY
Western Massachusetts SURJ - Standing Up for Racial Justice,Rallying against mayor's veto on ordinance banning police cameras in downtown,0.0,54.0,2018-01-10,343,Northampton ,MA
general protestors,Protesting police brutality and the arrests of two councilman at immigration protest,0.0,100.0,2018-01-17,350,New York,NY
general protestors,Protesting police shooting of local man,0.0,225.0,2018-01-19,352,Racine,WI
Students,Protesting police brutality,0.0,200.0,2018-01-22,355,San Diego,CA
general protestors,"Protesting racism, police brutality",1.0,200.0,2018-01-26,359,Bridgeport,CT
general protestors,Protesting police raids on New Orleans strip clubs; protesting long renovation to Bourbon Street,0.0,70.0,2018-01-31,364,New Orleans,LA
